PassengerId,Cabin
P2,C85
P4,C123
P7,E46
P11,G6
P12,C103
P22,D56
P24,A6
P28,C23 C25 C27
P32,B78
P53,D33
P55,B30
P56,C52
P62,B28
P63,C83
P67,F33
P76,F G73
P89,C23 C25 C27
P93,E31
P97,A5
P98,D10 D12
P103,D26
P111,C110
P119,B58 B60
P124,E101
P125,D26
P129,F E69
P137,D47
P138,C123
P140,B86
P149,F2
P152,C2
P167,E33
P171,B19
P175,A7
P178,C49
P184,F4
P186,A32
P194,F2
P195,B4
P196,B80
P206,G6
P210,A31
P216,D36
P219,D15
P225,C93
P231,C83
P246,C78
P249,D35
P252,G6
P253,C87
P258,B77
P263,E67
P264,B94
P269,C125
P270,C99
P274,C118
P276,D7
P285,A19
P292,B49
P293,D
P298,C22 C26
P299,C106
P300,B58 B60
P304,E101
P306,C22 C26
P308,C65
P310,E36
P311,C54
P312,B57 B59 B63 B66
P319,C7
P320,E34
P326,C32
P328,D
P330,B18
P332,C124
P333,C91
P337,C2
P338,E40
P340,T
P341,F2
P342,C23 C25 C27
P346,F33
P352,C128
P357,E33
P367,D37
P370,B35
P371,E50
P378,C82
P391,B96 B98
P394,D36
P395,G6
P413,C78
P430,E10
P431,C52
P435,E44
P436,B96 B98
P439,C23 C25 C27
P446,A34
P450,C104
P453,C111
P454,C92
P457,E38
P458,D21
P461,E12
P463,E63
P474,D
P476,A14
P485,B49
P487,C93
P488,B37
P493,C30
P497,D20
P499,C22 C26
P505,B79
P506,C65
P513,E25
P516,D46
P517,F33
P521,B73
P524,B18
P528,C95
P537,B38
P540,B39
P541,B22
P545,C86
P551,C70
P557,A16
P559,E67
P572,C101
P573,E25
P578,E44
P582,C68
P584,A10
P586,E68
P588,B41
P592,D20
P600,A20
P610,C125
P619,F4
P622,D19
P626,D50
P628,D9
P631,A23
P633,B50
P642,B35
P646,D33
P648,A26
P660,D48
P663,E58
P670,C126
P672,B71
P680,B51 B53 B55
P682,D49
P690,B5
P691,B20
P699,C68
P700,F G63
P701,C62 C64
P702,E24
P708,E24
P711,C90
P712,C124
P713,C126
P716,F G73
P717,C45
P718,E101
P725,E8
P731,B5
P738,B101
P741,D45
P742,C46
P743,B57 B59 B63 B66
P746,B22
P749,D30
P752,E121
P760,B77
P764,B96 B98
P766,D11
P773,E77
P777,F38
P780,B3
P782,B20
P783,D6
P790,B82 B84
P797,D17
P803,B96 B98
P807,A36
P810,E8
P816,B102
P821,B69
P824,E121
P830,B28
P836,E49
P840,C47
P850,C92
P854,D28
P858,E17
P863,D17
P868,A24
P872,D35
P873,B51 B53 B55
P880,C50
P888,B42
P890,C148
