PassengerId,Pclass
P1,3
P2,1
P3,3
P4,1
P5,3
P6,3
P7,1
P8,3
P9,3
P10,2
P11,3
P12,1
P13,3
P14,3
P15,3
P16,2
P17,3
P18,2
P19,3
P20,3
P21,2
P22,2
P23,3
P24,1
P25,3
P26,3
P27,3
P28,1
P29,3
P30,3
P31,1
P32,1
P33,3
P34,2
P35,1
P36,1
P37,3
P38,3
P39,3
P40,3
P41,3
P42,2
P43,3
P44,2
P45,3
P46,3
P47,3
P48,3
P49,3
P50,3
P51,3
P52,3
P53,1
P54,2
P55,1
P56,1
P57,2
P58,3
P59,2
P60,3
P61,3
P62,1
P63,1
P64,3
P65,1
P66,3
P67,2
P68,3
P69,3
P70,3
P71,2
P72,3
P73,2
P74,3
P75,3
P76,3
P77,3
P78,3
P79,2
P80,3
P81,3
P82,3
P83,3
P84,1
P85,2
P86,3
P87,3
P88,3
P89,1
P90,3
P91,3
P92,3
P93,1
P94,3
P95,3
P96,3
P97,1
P98,1
P99,2
P100,2
P101,3
P102,3
P103,1
P104,3
P105,3
P106,3
P107,3
P108,3
P109,3
P110,3
P111,1
P112,3
P113,3
P114,3
P115,3
P116,3
P117,3
P118,2
P119,1
P120,3
P121,2
P122,3
P123,2
P124,2
P125,1
P126,3
P127,3
P128,3
P129,3
P130,3
P131,3
P132,3
P133,3
P134,2
P135,2
P136,2
P137,1
P138,1
P139,3
P140,1
P141,3
P142,3
P143,3
P144,3
P145,2
P146,2
P147,3
P148,3
P149,2
P150,2
P151,2
P152,1
P153,3
P154,3
P155,3
P156,1
P157,3
P158,3
P159,3
P160,3
P161,3
P162,2
P163,3
P164,3
P165,3
P166,3
P167,1
P168,3
P169,1
P170,3
P171,1
P172,3
P173,3
P174,3
P175,1
P176,3
P177,3
P178,1
P179,2
P180,3
P181,3
P182,2
P183,3
P184,2
P185,3
P186,1
P187,3
P188,1
P189,3
P190,3
P191,2
P192,2
P193,3
P194,2
P195,1
P196,1
P197,3
P198,3
P199,3
P200,2
P201,3
P202,3
P203,3
P204,3
P205,3
P206,3
P207,3
P208,3
P209,3
P210,1
P211,3
P212,2
P213,3
P214,2
P215,3
P216,1
P217,3
P218,2
P219,1
P220,2
P221,3
P222,2
P223,3
P224,3
P225,1
P226,3
P227,2
P228,3
P229,2
P230,3
P231,1
P232,3
P233,2
P234,3
P235,2
P236,3
P237,2
P238,2
P239,2
P240,2
P241,3
P242,3
P243,2
P244,3
P245,3
P246,1
P247,3
P248,2
P249,1
P250,2
P251,3
P252,3
P253,1
P254,3
P255,3
P256,3
P257,1
P258,1
P259,1
P260,2
P261,3
P262,3
P263,1
P264,1
P265,3
P266,2
P267,3
P268,3
P269,1
P270,1
P271,1
P272,3
P273,2
P274,1
P275,3
P276,1
P277,3
P278,2
P279,3
P280,3
P281,3
P282,3
P283,3
P284,3
P285,1
P286,3
P287,3
P288,3
P289,2
P290,3
P291,1
P292,1
P293,2
P294,3
P295,3
P296,1
P297,3
P298,1
P299,1
P300,1
P301,3
P302,3
P303,3
P304,2
P305,3
P306,1
P307,1
P308,1
P309,2
P310,1
P311,1
P312,1
P313,2
P314,3
P315,2
P316,3
P317,2
P318,2
P319,1
P320,1
P321,3
P322,3
P323,2
P324,2
P325,3
P326,1
P327,3
P328,2
P329,3
P330,1
P331,3
P332,1
P333,1
P334,3
P335,1
P336,3
P337,1
P338,1
P339,3
P340,1
P341,2
P342,1
P343,2
P344,2
P345,2
P346,2
P347,2
P348,3
P349,3
P350,3
P351,3
P352,1
P353,3
P354,3
P355,3
P356,3
P357,1
P358,2
P359,3
P360,3
P361,3
P362,2
P363,3
P364,3
P365,3
P366,3
P367,1
P368,3
P369,3
P370,1
P371,1
P372,3
P373,3
P374,1
P375,3
P376,1
P377,3
P378,1
P379,3
P380,3
P381,1
P382,3
P383,3
P384,1
P385,3
P386,2
P387,3
P388,2
P389,3
P390,2
P391,1
P392,3
P393,3
P394,1
P395,3
P396,3
P397,3
P398,2
P399,2
P400,2
P401,3
P402,3
P403,3
P404,3
P405,3
P406,2
P407,3
P408,2
P409,3
P410,3
P411,3
P412,3
P413,1
P414,2
P415,3
P416,3
P417,2
P418,2
P419,2
P420,3
P421,3
P422,3
P423,3
P424,3
P425,3
P426,3
P427,2
P428,2
P429,3
P430,3
P431,1
P432,3
P433,2
P434,3
P435,1
P436,1
P437,3
P438,2
P439,1
P440,2
P441,2
P442,3
P443,3
P444,2
P445,3
P446,1
P447,2
P448,1
P449,3
P450,1
P451,2
P452,3
P453,1
P454,1
P455,3
P456,3
P457,1
P458,1
P459,2
P460,3
P461,1
P462,3
P463,1
P464,2
P465,3
P466,3
P467,2
P468,1
P469,3
P470,3
P471,3
P472,3
P473,2
P474,2
P475,3
P476,1
P477,2
P478,3
P479,3
P480,3
P481,3
P482,2
P483,3
P484,3
P485,1
P486,3
P487,1
P488,1
P489,3
P490,3
P491,3
P492,3
P493,1
P494,1
P495,3
P496,3
P497,1
P498,3
P499,1
P500,3
P501,3
P502,3
P503,3
P504,3
P505,1
P506,1
P507,2
P508,1
P509,3
P510,3
P511,3
P512,3
P513,1
P514,1
P515,3
P516,1
P517,2
