PassengerId,Port
P1,S
P2,C
P3,S
P4,S
P5,S
P6,Q
P7,S
P8,S
P9,S
P10,C
P11,S
P12,S
P13,S
P14,S
P15,S
P16,S
P17,Q
P18,S
P19,S
P20,C
P21,S
P22,S
P23,Q
P24,S
P25,S
P26,S
P27,C
P28,S
P29,Q
P30,S
P31,C
P32,C
P33,Q
P34,S
P35,C
P36,S
P37,C
P38,S
P39,S
P40,C
P41,S
P42,S
P43,C
P44,C
P45,Q
P46,S
P47,Q
P48,Q
P49,C
P50,S
P51,S
P52,S
P53,C
P54,S
P55,C
P56,S
P57,S
P58,C
P59,S
P60,S
P61,C
P63,S
P64,S
P65,C
P66,C
P67,S
P68,S
P69,S
P70,S
P71,S
P72,S
P73,S
P74,C
P75,S
P76,S
P77,S
P78,S
P79,S
P80,S
P81,S
P82,S
P83,Q
P84,S
P85,S
P86,S
P87,S
P88,S
P89,S
P90,S
P91,S
P92,S
P93,S
P94,S
P95,S
P96,S
P97,C
P98,C
P99,S
P100,S
P101,S
P102,S
P103,S
P104,S
P105,S
P106,S
P107,S
P108,S
P109,S
P110,Q
P111,S
P112,C
P113,S
P114,S
P115,C
P116,S
P117,Q
P118,S
P119,C
P120,S
P121,S
P122,S
P123,C
P124,S
P125,S
P126,C
P127,Q
P128,S
P129,C
P130,S
P131,C
P132,S
P133,S
P134,S
P135,S
P136,C
P137,S
P138,S
P139,S
P140,C
P141,C
P142,S
P143,S
P144,Q
P145,S
P146,S
P147,S
P148,S
P149,S
P150,S
P151,S
P152,S
P153,S
P154,S
P155,S
P156,C
P157,Q
P158,S
P159,S
P160,S
P161,S
P162,S
P163,S
P164,S
P165,S
P166,S
P167,S
P168,S
P169,S
P170,S
P171,S
P172,Q
P173,S
P174,S
P175,C
P176,S
P177,S
P178,C
P179,S
P180,S
P181,S
P182,C
P183,S
P184,S
P185,S
P186,S
P187,Q
P188,S
P189,Q
P190,S
P191,S
P192,S
P193,S
P194,S
P195,C
P196,C
P197,Q
P198,S
P199,Q
P200,S
P201,S
P202,S
P203,S
P204,C
P205,S
P206,S
P207,S
P208,C
P209,Q
P210,C
P211,S
P212,S
P213,S
P214,S
P215,Q
P216,C
P217,S
P218,S
P219,C
P220,S
P221,S
P222,S
P223,S
P224,S
P225,S
P226,S
P227,S
P228,S
P229,S
P230,S
P231,S
P232,S
P233,S
P234,S
P235,S
P236,S
P237,S
P238,S
P239,S
P240,S
P241,C
P242,Q
P243,S
P244,S
P245,C
P246,Q
P247,S
P248,S
P249,S
P250,S
P251,S
P252,S
P253,S
P254,S
P255,S
P256,C
P257,C
P258,S
P259,C
P260,S
P261,Q
P262,S
P263,S
P264,S
P265,Q
P266,S
P267,S
P268,S
P269,S
P270,S
P271,S
P272,S
P273,S
P274,C
P275,Q
P276,S
P277,S
P278,S
P279,Q
P280,S
P281,Q
P282,S
P283,S
P284,S
P285,S
P286,C
P287,S
P288,S
P289,S
P290,Q
P291,S
P292,C
P293,C
P294,S
P295,S
P296,C
P297,C
P298,S
P299,S
P300,C
P301,Q
P302,Q
P303,S
P304,Q
P305,S
P306,S
P307,C
P308,C
P309,C
P310,C
P311,C
P312,C
P313,S
P314,S
P315,S
P316,S
P317,S
P318,S
P319,S
P320,C
P321,S
P322,S
P323,Q
P324,S
P325,S
P326,C
P327,S
P328,S
P329,S
P330,C
P331,Q
P332,S
P333,S
P334,S
P335,S
P336,S
P337,S
P338,C
P339,S
P340,S
P341,S
P342,S
P343,S
P344,S
P345,S
P346,S
P347,S
P348,S
P349,S
P350,S
P351,S
P352,S
P353,C
P354,S
P355,C
P356,S
P357,S
P358,S
